Customer-wise Revenue:
Customer 1: 2.6573571999999997e+06
Customer 2: 8033.44
Customer 3: 765470.25
Customer 4: 992847.96
Customer 5: 97505.71
Customer 6: 1.13822767e+06
Customer 7: 92957.76
Customer 8: 1.240272e+06
Customer 9: 3.02137344e+06
Customer 10: 43439.59
Customer 11: 1.05243396e+06
Customer 12: 56726.009999999995
Customer 13: 8.826976620000001e+06
Customer 14: 729441.3500000001
Customer 15: 2982.4
Customer 16: 1.0444707e+06
Customer 17: 2.21165714e+06
Customer 18: 269785.08
Customer 19: 415426.88
Customer 20: 50181.17
Customer 21: 6326.64
Customer 22: 9183.2
Customer 23: 1.9668326400000001e+06
Customer 24: 359342.08
Customer 25: 1.14290388e+06
Customer 26: 86853
Customer 27: 6.5575e+06
Customer 28: 2.6812718800000004e+06
Customer 29: 585588.3
Customer 30: 46273
Customer 31: 2083.77
Customer 32: 6167.68
Customer 33: 2.7389975e+06
Customer 34: 2.90238228e+06
Customer 35: 697925
Customer 36: 1.17266604e+06
Customer 37: 1.50894912e+06
Customer 38: 780958.0800000001
Customer 39: 48519
Customer 40: 2.35982912e+06
Customer 41: 1.3185854000000001e+06
Customer 42: 840294
Customer 43: 3997.8900000000003
Customer 44: 4.56116496e+06
Customer 45: 11723.68
Customer 46: 6.859772640000001e+06
Customer 47: 11898.9
Customer 48: 868106.25
Customer 49: 777975.84
Customer 50: 313612.74000000005
Customer 51: 197972.34999999998
Customer 52: 35184
Customer 53: 1.754175e+06
Customer 54: 1.8821462400000002e+06
Customer 55: 5.37225983e+06
Customer 56: 8972.91
Customer 57: 1.294474e+06
Customer 58: 318968
Customer 59: 1.3056976400000001e+06
Customer 60: 248787.06999999998
Customer 61: 6.649239750000001e+06
Customer 62: 630782.96
Customer 63: 331997.12
Customer 64: 2.30570925e+06
Customer 65: 1.23315696e+06
Customer 66: 1.4327211600000001e+06
Customer 67: 453021.4
Customer 68: 2.81357053e+06
Customer 69: 1.26154007e+06
Customer 70: 6.25418397e+06
Customer 71: 5.2134404e+06
Customer 72: 835737.75
Customer 73: 634586.2
Customer 74: 369375
Customer 75: 1.060288e+06
Customer 76: 301669.31
Customer 77: 1.05880352e+06
Customer 78: 364106.25
Customer 79: 5.92454e+06
Customer 80: 3.106649e+06
Customer 81: 258072.65
Customer 82: 67352
Customer 83: 290106.68
Customer 84: 1.87027194e+06
Customer 85: 1.31731275e+06
Customer 86: 67655.52
Customer 87: 1.98457056e+06
Customer 88: 3.4089984e+06
Customer 89: 469847.04000000004
Customer 90: 2.4976138600000003e+06
Customer 91: 2255
